start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1990-02-02,2010-02-02,20.0,241,241000,615508.741123554,374508.74112355395,155.39781789359083,4.799897797617225,695.7459772368337,1776.9200439453125
1990-03-02,2010-03-02,20.0,241,241000,633238.8018950068,392238.8018950068,162.75468958299038,4.948811270189402,704.5392658359386,1851.2099609375
1990-04-02,2010-04-02,20.0,240,240000,661038.5434362825,421038.54343628255,175.4327264317844,5.19637560313051,711.4477948861565,1959.56005859375
1990-05-02,2010-05-02,20.0,240,240000,666497.4147709395,426497.4147709395,177.70725615455814,5.239641836138476,720.4096978183965,2000.6300048828125
1990-06-02,2010-06-02,20.0,241,241000,619084.0375008605,378084.0375008605,156.88134336135292,4.83025161211732,731.6957865547707,1879.5899658203125
1990-07-02,2010-07-02,20.0,241,241000,563068.4267559595,322068.4267559595,133.63835135102056,4.334324030590309,739.7501120112073,1728.3399658203125
1990-08-02,2010-08-02,20.0,241,241000,611698.868648897,370698.86864889704,153.81695794560045,4.76736755953131,748.173016336197,1898.989990234375
1990-09-02,2010-09-02,20.0,241,241000,585478.3188274854,344478.31882748543,142.93706175414334,4.53812076792468,757.6365428826118,1840.5799560546875
1990-10-02,2010-10-02,20.0,240,240000,624855.0439188932,384855.0439188932,160.35626829953884,4.9007037842317525,766.8722510989661,1996.5999755859375
1990-11-02,2010-11-02,20.0,241,241000,663854.6747199729,422854.6747199729,175.45837125310078,5.196865309453225,781.1416153063831,2151.719970703125
1990-12-02,2010-12-02,20.0,241,241000,662859.143063961,421859.14306396095,175.04528757840703,5.188971904058359,794.5237193730005,2185.300048828125
1991-01-02,2011-01-02,20.0,240,240000,661334.053011376,421334.05301137595,175.55585542140665,5.198726444656088,804.8677114954095,2217.860107421875
1991-02-02,2011-02-02,20.0,241,241000,682526.3085390211,441526.30853902106,183.20593715312077,5.3428630684070555,819.5767755517367,2321.090087890625
1991-03-02,2011-03-02,20.0,241,241000,675373.5329858346,434373.53298583464,180.23798049204757,5.287387518559128,830.2836094685879,2326.77001953125
1991-04-02,2011-04-02,20.0,240,240000,670814.575597228,430814.575597228,179.50607316551168,5.273621295261366,838.2357833375671,2342.919921875
1991-05-02,2011-05-02,20.0,241,241000,681621.9205484177,440621.9205484177,182.83067242672934,5.3358793936002735,850.0633858434226,2404.239990234375
