start_date,end_date_QQQ,years_QQQ,num_investments_QQQ,total_invested_QQQ,final_value_QQQ,total_return_QQQ,total_return_pct_QQQ,xirr_QQQ,simple_cagr_QQQ,cagr_QQQ,avg_purchase_price_QQQ,final_price_QQQ,end_date_TQQQ,years_TQQQ,num_investments_TQQQ,total_invested_TQQQ,final_value_TQQQ,total_return_TQQQ,total_return_pct_TQQQ,xirr_TQQQ,simple_cagr_TQQQ,cagr_TQQQ,avg_purchase_price_TQQQ,final_price_TQQQ,TQQQ_vs_QQQ_value_ratio,TQQQ_vs_QQQ_cagr_diff,TQQQ_outperformed,TQQQ_vs_QQQ_xirr_diff
2006-12-11,2016-12-11,10.001368925393566,120,120000,246287.11647523227,126287.11647523228,105.2392637293602,13.785699459881984,7.453798087134866,13.785699459881984,58.22472651119002,119.5,2016-12-11,10.001368925393566,120,120000,614766.0951926723,494766.09519267234,412.3050793272269,30.749547307760285,17.745184511857804,30.749547307760285,0.0110032504978012,0.0563702111913342,2.496135827123121,16.9638478478783,True,16.9638478478783
2007-03-11,2017-03-11,10.001368925393566,120,120000,265088.5453372767,145088.5453372767,120.90712111439726,15.161710874941742,8.247097525512759,15.161710874941742,59.47748480303984,131.38999938964844,2017-03-11,10.001368925393566,120,120000,793400.8322790451,673400.8322790451,561.1673602325376,35.50497875470584,20.786921533748128,35.50497875470584,0.0111492638036575,0.0737152931760045,2.9929653552913336,20.3432678797641,True,20.3432678797641
2007-06-11,2017-06-11,10.001368925393566,120,120000,276162.0908936471,156162.0908936471,130.13507574470594,15.927133269216643,8.690935571979285,15.927133269216643,60.82514596028902,139.97999572753906,2017-06-11,10.001368925393566,120,120000,924469.805441548,804469.805441548,670.3915045346233,38.37763584583283,22.6475879981904,38.37763584583283,0.0113102744036464,0.0871333931452465,3.3475623046233776,22.450502576616184,True,22.450502576616184
2007-09-11,2017-09-11,10.001368925393566,121,121000,282736.98082453,161736.98082453,133.66692630126445,16.278783905687977,8.856578419638893,16.278783905687977,62.42646206982616,145.8699951171875,2017-09-11,10.001368925393566,121,121000,1006396.6608425695,885396.6608425695,731.7327775558426,39.912058626979515,23.590699285262783,39.912058626979515,0.0115304115862174,0.0959022125496668,3.559480114372274,23.63327472129154,True,23.63327472129154
2007-12-11,2017-12-11,10.001368925393566,121,121000,295898.2729692178,174898.2729692178,144.54402724728743,17.129766940965755,9.352921541994252,17.129766940965755,63.75129895887231,155.89999389648438,2017-12-11,10.001368925393566,121,121000,1188055.7273667413,1067055.7273667413,881.8642374931746,43.059383443916914,25.65841158514981,43.059383443916914,0.0116615440156491,0.1145005302291847,4.015081654397943,25.92961650295116,True,25.92961650295116
2008-03-11,2018-03-11,9.998631074606434,120,120000,319824.5062601492,199824.5062601492,166.52042188345766,18.664082296208385,10.30085475562057,18.664082296208385,64.97063243349797,173.16000366210938,2018-03-11,9.998631074606434,120,120000,1534973.1337717208,1414973.1337717208,1179.1442781431008,48.039805815940475,29.03487582803117,48.039805815940475,0.0117560966902992,0.1503774381469333,4.799423132770054,29.37572351973209,True,29.37572351973209
2008-06-11,2018-06-11,9.998631074606434,121,121000,315587.98481478245,194587.98481478245,160.81651637585327,18.334725118080293,10.062458381229922,18.334725118080293,67.06247215189887,174.91000366210938,2018-06-11,9.998631074606434,121,121000,1479207.4236360418,1358207.4236360418,1122.4854740793735,47.26080340652332,28.451522538593377,47.26080340652332,0.0120820711440428,0.1477015647038599,4.687147466986691,28.92607828844303,True,28.92607828844303
2008-09-11,2018-09-11,9.998631074606434,121,121000,321644.45107546676,200644.45107546676,165.82186039294774,18.6825447045952,10.27190630924979,18.6825447045952,68.88823772675909,183.1199951171875,2018-09-11,9.998631074606434,121,121000,1619264.3120071108,1498264.3120071108,1238.234968600918,48.99015333439056,29.618998302684375,48.99015333439056,0.0123229623512569,0.164910191352046,5.034330008159184,30.307608629795364,True,30.307608629795364
2008-12-11,2018-12-11,9.998631074606434,121,121000,276478.75030176697,155478.75030176697,128.49483496013798,15.865286430345927,8.615686671697208,15.865286430345927,71.6033693448231,163.61000061035156,2018-12-11,9.998631074606434,121,121000,1003590.383394112,882590.3833941121,729.413539995134,39.86968872578126,23.563354805781913,39.86968872578126,0.0131320637575342,0.1089191148857829,3.629900606461538,24.004402295435334,True,24.004402295435334
2009-03-11,2019-03-11,9.998631074606434,121,121000,280683.66850724444,159683.66850724444,131.9699739729293,16.156827214189978,8.779781102508966,16.156827214189978,75.32440200555004,174.72999572753906,2019-03-11,9.998631074606434,121,121000,1001083.0682221932,880083.0682221933,727.3413786960275,39.84375277162705,23.532445422950275,39.84375277162705,0.0151555778766566,0.1253883669540814,3.566588229184254,23.686925557437075,True,23.686925557437075
2009-06-11,2019-06-11,9.998631074606434,121,121000,280104.87849010224,159104.87849010224,131.49163511578698,16.11308075253495,8.757326009736044,16.11308075253495,79.22532224749796,183.3999938964844,2019-06-11,9.998631074606434,121,121000,952766.125231792,831766.1252317919,687.4100208527205,38.89983026331487,22.92277720523346,38.89983026331487,0.0177623050270604,0.1398621697175008,3.4014620893704244,22.786749510779917,True,22.786749510779917
2009-09-11,2019-09-11,9.998631074606434,121,121000,281405.6644034909,160405.6644034909,132.56666479627347,16.19426078936718,8.807733756569625,16.19426078936718,82.74186364771941,192.42999267578125,2019-09-11,9.998631074606434,121,121000,943666.6309343388,822666.6309343387,679.8897776316849,38.707461762839486,22.80485473726468,38.707461762839486,0.0198839612692268,0.1550729813269437,3.353403112672498,22.513200973472305,True,22.513200973472305
2009-12-11,2019-12-11,9.998631074606434,121,121000,288429.83699345624,167429.83699345624,138.3717661102944,16.656540147238772,9.07636247264294,16.656540147238772,85.99172589621833,204.97999572753903,2019-12-11,9.998631074606434,121,121000,1022017.889639196,901017.889639196,744.6428839993356,40.2155882419835,23.788414354152,40.2155882419835,0.0216359351274394,0.1827463864406295,3.5433847631456485,23.559048094744725,True,23.559048094744725
2010-03-11,2020-03-11,10.001368925393566,121,121000,264316.3563852631,143316.3563852631,118.44326973988686,15.02762121263176,8.12577223097466,15.02762121263176,89.36874157448888,195.22000122070312,2020-03-11,10.001368925393566,121,121000,746356.0002952346,625356.0002952346,516.8231407398633,34.31969093016444,19.95138051410088,34.31969093016444,0.0234925678536061,0.1449075948750569,2.8237223397834623,19.292069717532684,True,19.292069717532684
2010-06-11,2020-06-11,10.001368925393566,121,121000,305417.9499198764,184417.9499198764,152.41152885940198,17.72021277935757,9.699693690318156,17.72021277935757,92.7136748982708,234.02000427246097,2020-06-11,10.001368925393566,121,121000,945790.8710527768,824790.8710527768,681.6453479775015,38.7486631420458,22.82555968610176,38.7486631420458,0.0252570809209013,0.1974207980531387,3.0967101681512053,21.02845036268823,True,21.02845036268823
2010-09-11,2020-09-11,10.001368925393566,121,121000,338083.8315207605,217083.8315207605,179.40812522376902,19.60369677116774,10.819910552606494,19.60369677116774,96.79389673812688,270.45001220703125,2020-09-11,10.001368925393566,121,121000,1246238.5983759277,1125238.5983759277,929.9492548561384,43.95820579134488,26.260562549135912,43.95820579134488,0.027988366237214,0.2882659695065929,3.686182189695755,24.35450902017714,True,24.35450902017714
2010-12-11,2020-12-11,10.001368925393566,121,121000,362294.877998951,241294.877998951,199.4172545445876,20.88998708915597,11.588942885527498,20.88998708915597,100.8124954464058,301.8500061035156,2020-12-11,10.001368925393566,121,121000,1507658.434403892,1386658.434403892,1145.9987061189188,47.60691465794236,28.68761864592877,47.60691465794236,0.0305202960359335,0.3802824937113954,4.161412501140182,26.716927568786392,True,26.716927568786392
2011-03-11,2021-03-11,10.001368925393566,121,121000,367726.6156476376,246726.6156476376,203.90629392366745,21.178342482277884,11.755102702005328,21.178342482277884,104.65068177390378,318.0400085449219,2021-03-11,10.001368925393566,121,121000,1579443.214645126,1458443.214645126,1205.3249707810958,48.52797984670194,29.2875165680184,48.52797984670194,0.0326195868336625,0.4257916123054203,4.295156095414582,27.349637364424055,True,27.349637364424055
2011-06-11,2021-06-11,10.001368925393566,121,121000,379753.56900330813,258753.56900330813,213.8459247961224,21.769293555424436,12.11529155331872,21.769293555424436,108.7285076127874,341.239990234375,2021-06-11,10.001368925393566,121,121000,1768001.493773093,1647001.493773093,1361.1582593166056,50.69823597041009,30.7536388593753,50.69823597041009,0.0349391395750728,0.5105161236353332,4.655654714222558,28.928942414985652,True,28.928942414985652
2011-09-11,2021-09-11,10.001368925393566,120,120000,400679.04111418413,280679.04111418413,233.8992009284868,22.81339300500332,12.811759026529025,22.81339300500332,112.78553386491846,376.5899963378906,2021-09-11,10.001368925393566,120,120000,2146217.514546582,2026217.514546582,1688.514595455485,54.49988556302841,33.42343134577366,54.49988556302841,0.0378464476194308,0.6768892395349355,5.356450660804493,31.686492558025087,True,31.686492558025087
2011-12-11,2021-12-11,10.001368925393566,120,120000,405319.67991650786,285319.67991650786,237.76639993042323,23.02975406117273,12.941723058270949,23.02975406117273,117.83588001873822,398.010009765625,2021-12-11,10.001368925393566,120,120000,2227049.2234098986,2107049.2234098986,1755.874352841582,55.23443807964021,33.91754954633719,55.23443807964021,0.0418340097362582,0.7763866574604672,5.494549941095015,32.20468401846748,True,32.20468401846748
2012-03-11,2022-03-11,9.998631074606434,121,121000,317483.6411784146,196483.64117841455,162.38317452761535,18.451830223184754,10.128401091292716,18.451830223184754,123.63597417422886,324.3999938964844,2022-03-11,9.998631074606434,121,121000,1007968.9557800872,886968.9557800873,733.0321948595763,39.969936026206696,23.617166177571548,39.969936026206696,0.0465161238726603,0.3874942876600216,3.174868953999568,21.518105803021943,True,21.518105803021943
2012-06-11,2022-06-11,9.998631074606434,120,120000,271231.3596332887,151231.3596332887,126.02613302774056,15.586232737009183,8.49774558886358,15.586232737009183,127.79053132871178,288.8399963378906,2022-06-11,9.998631074606434,120,120000,582083.5779175917,462083.57791759167,385.0696482646597,29.7356854821232,17.10887245051802,29.7356854821232,0.0499873491909846,0.2424734588975366,2.1460777201595813,14.149452745114015,True,14.149452745114015
2012-09-11,2022-09-11,9.998631074606434,120,120000,277070.57843054284,157070.57843054284,130.89214869211904,15.985222961265285,8.72912474014731,15.985222961265285,133.0014892569504,307.0899963378906,2022-09-11,9.998631074606434,120,120000,586764.5953354258,466764.5953354258,388.9704961128549,29.88818455577644,17.202723188195577,29.88818455577644,0.0549161094764469,0.2685235729528612,2.1177441454056023,13.902961594511156,True,13.902961594511156
